wht_profile_tin_active,wht_profile_years_on_register,wht_profile_is_profile_complete,wht_profile_director_tin_coverage_ratio,wht_profile_has_all_director_tins,wht_vat_is_vat_registered,wht_vat_efris_usage_ratio,wht_vat_efris_fully_compliant,wht_wht_is_wht_registered,wht_wht_is_designated_agent,wht_wht_filing_compliance_ratio,wht_wht_avg_payment_delay_days,wht_wht_supplier_tin_coverage_ratio,wht_wht_missing_supplier_tins_count,wht_profile_overall_filing_compliance_ratio,wht_profile_late_returns_last_12m,wht_profile_max_days_late_return,wht_pay_tax_payment_compliance_ratio_12m,wht_pay_domestic_tax_paid_12m,wht_pay_is_small_taxpayer,wht_pay_meets_minimum_payment_threshold,wht_penalty_underestimation_flag_5y,wht_penalty_underestimation_count_5y,wht_penalty_underestimation_amount_5y,wht_enforce_has_outstanding_liability,wht_enforce_on_installment_plan_flag,wht_enforce_enforcement_actions_count_5y,wht_enforce_recent_enforcement_flag,wht_investig_investigation_flag,wht_investig_investigation_count,wht_investig_last_investigation_recency_days,wht_profit_years_of_consecutive_loss,wht_profit_loss_to_turnover_ratio,wht_composite_overall_compliance_score,wht_composite_enforcement_risk_score,wht_composite_transparency_score,wht_composite_stability_score,wht_rule_any_fatal_legal_failure,label_safe_to_exempt
True,9,True,0.874,False,True,0.955,True,True,False,0.573,13.9,0.874,2,0.941,1,15,0.66,75352290.0,False,True,False,0,0.0,False,False,1,True,False,0,0,2,0.164,76.7,28.0,74.5,79.5,False,0
True,1,True,0.777,False,True,0.806,False,True,False,0.867,10.8,0.694,1,0.829,0,0,0.642,16909784.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,72.7,0.0,78.3,57.1,False,0
True,18,True,0.903,False,True,0.961,True,True,False,0.567,10.9,0.734,3,0.933,0,0,0.865,18147302.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.216,88.4,0.0,81.1,79.8,False,0
True,15,True,0.965,False,False,0.031,False,True,True,0.888,10.9,0.591,6,0.94,1,26,0.747,8706495.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.273,81.0,0.0,74.4,73.2,False,0
True,9,True,0.705,False,False,0.0,False,False,False,0.561,20.9,0.816,2,0.94,0,0,0.853,226600822.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.059,86.6,0.0,78.0,84.0,False,1
True,2,True,0.886,False,True,0.784,False,True,False,1.0,10.9,0.947,2,0.858,1,44,0.756,53814324.0,True,True,True,3,34114804.0,False,False,1,False,False,0,0,2,0.358,76.9,53.0,82.1,46.1,False,0
True,11,True,0.9,False,True,0.873,False,True,False,0.831,18.8,0.78,5,0.825,2,33,0.859,25951690.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.228,75.9,0.0,76.1,80.1,False,0
True,11,True,0.765,False,True,1.0,True,True,False,0.901,4.0,0.905,2,0.976,0,0,0.848,26759911.0,True,False,False,0,0.0,False,False,1,False,False,0,0,3,0.233,91.2,28.0,89.3,76.1,False,1
True,12,True,0.714,False,True,0.801,False,True,False,0.789,7.6,0.904,2,0.803,2,1,0.929,21292878.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,79.7,0.0,85.3,93.5,False,1
True,13,True,0.987,False,True,0.851,False,True,False,0.835,8.9,0.753,1,0.67,2,3,0.824,138994700.0,False,True,False,0,0.0,False,False,1,False,False,0,0,0,0.0,67.5,28.0,87.7,96.7,False,0
True,19,True,0.917,False,False,0.0,False,True,False,0.747,21.2,0.689,2,0.626,1,38,0.993,562935963.0,False,True,False,0,0.0,False,False,2,True,False,0,0,1,0.165,73.1,36.0,84.4,90.9,False,0
True,2,True,0.884,False,False,0.0,False,False,False,0.492,13.9,0.693,3,0.852,1,36,0.787,10804758.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.394,77.5,0.0,72.1,38.5,False,1
True,16,True,0.658,False,True,0.804,False,False,False,0.765,11.7,0.909,0,0.856,0,0,0.792,48374417.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.217,80.8,0.0,87.5,77.5,False,1
True,8,True,0.839,False,True,0.964,True,True,True,0.878,3.1,0.92,1,0.921,0,0,0.989,56041783.0,True,True,False,0,0.0,False,False,0,False,False,0,0,1,0.248,94.7,0.0,87.4,76.9,False,1
True,8,True,0.698,False,True,0.782,False,True,True,0.98,2.7,0.552,10,0.857,2,34,0.913,79795870.0,False,True,False,0,0.0,False,False,0,False,False,0,0,0,0.0,82.8,0.0,59.6,87.7,False,1
True,1,True,0.64,False,True,0.835,False,False,False,0.681,12.5,0.6,6,0.948,0,0,0.94,107789420.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.068,92.3,0.0,70.2,46.5,False,1
True,2,True,0.884,False,False,0.0,False,False,False,0.355,21.9,0.701,1,0.901,0,0,0.956,21075295.0,True,False,False,0,0.0,False,False,1,True,False,0,0,3,0.084,88.9,28.0,75.8,47.4,False,1
True,5,True,0.813,False,False,0.0,False,True,False,0.479,26.2,0.678,3,0.953,0,0,0.859,5120897.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.082,86.7,0.0,79.4,57.0,False,1
True,9,True,0.965,False,True,0.855,False,True,True,0.783,18.9,0.708,1,0.875,2,30,0.874,11058577.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.356,79.3,0.0,75.1,71.5,False,0
True,3,True,0.859,False,False,0.0,False,True,False,1.0,13.3,0.926,0,1.0,0,0,0.82,185694863.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.126,89.7,0.0,88.1,54.0,False,0
True,15,True,0.974,False,True,0.907,False,True,False,0.936,9.6,0.761,5,0.934,0,0,0.894,23029427.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.284,90.0,0.0,82.3,82.5,False,1
True,14,True,0.933,False,True,0.941,False,True,False,0.819,12.4,0.936,1,0.854,0,0,0.969,14670453.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.452,88.5,0.0,83.6,69.6,False,1
True,10,True,0.985,False,True,0.712,False,True,False,0.689,7.8,0.787,5,0.786,1,16,0.841,7325275.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.23,77.3,0.0,86.3,77.9,False,1
True,19,True,0.894,False,False,0.0,False,True,True,0.898,17.9,0.796,1,1.0,0,0,0.838,139120541.0,False,True,False,0,0.0,False,False,0,False,False,0,0,0,0.0,89.7,0.0,82.8,96.7,False,0
True,2,True,0.79,False,True,0.951,True,False,False,0.51,17.0,0.733,3,0.922,0,0,0.679,59640334.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.205,78.4,0.0,83.7,46.1,False,0
True,3,True,0.876,False,False,0.005,False,True,True,0.952,9.6,0.961,1,1.0,0,0,0.972,40515392.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.202,97.1,0.0,87.3,53.5,False,0
True,0,True,0.718,False,False,0.0,False,False,False,0.604,13.1,0.746,1,0.967,0,0,1.0,51412227.0,False,True,False,0,0.0,False,False,0,False,False,0,0,3,0.222,96.0,0.0,70.0,37.4,False,0
False,15,True,0.887,False,True,0.706,False,True,False,0.839,12.9,0.805,1,0.964,0,0,0.74,34764496.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.194,84.1,0.0,75.3,85.5,True,0
True,10,True,0.962,False,True,0.939,False,True,False,0.554,20.0,0.74,8,1.0,0,0,0.8,41010809.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.157,87.7,0.0,80.5,78.7,False,1
True,18,True,0.895,False,True,0.887,False,True,False,0.772,16.8,0.827,3,0.816,3,38,0.902,10962627.0,True,False,False,0,0.0,False,False,1,False,False,0,0,0,0.0,75.2,28.0,87.5,92.4,False,0
True,17,True,0.776,False,True,0.924,False,True,False,0.962,22.5,0.961,0,0.98,0,0,0.914,8000426.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.445,91.3,0.0,89.8,72.7,False,1
True,10,True,0.716,False,True,0.874,False,True,False,0.941,4.0,0.932,1,0.804,1,6,0.788,41722826.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.168,76.5,0.0,74.8,78.4,False,1
True,4,True,0.93,False,True,0.729,False,False,False,0.236,15.5,0.811,1,0.629,0,0,0.941,13595797.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.166,74.4,0.0,87.0,60.6,False,0
True,11,True,0.841,False,True,0.942,False,False,False,0.618,10.6,0.891,3,0.915,1,16,0.787,7187188.0,True,False,True,3,34717194.0,False,False,3,True,False,0,0,2,0.078,81.4,69.0,86.9,81.7,False,1
True,1,True,0.898,False,True,0.942,False,True,True,0.944,10.8,0.722,4,0.971,0,0,0.763,150730297.0,False,True,False,0,0.0,False,False,1,False,False,0,0,1,0.428,85.9,28.0,70.5,46.1,False,0
True,13,True,0.887,False,True,0.871,False,False,False,0.517,11.6,0.826,0,0.83,2,1,0.726,11176545.0,True,False,True,2,9313684.0,False,False,0,False,False,0,0,1,0.186,71.4,25.0,91.7,83.8,False,1
True,3,True,0.646,False,False,0.0,False,True,False,0.559,18.1,0.75,7,0.906,0,0,0.921,17241083.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.234,88.3,0.0,68.6,55.3,False,1
True,7,True,0.929,False,True,0.929,False,True,False,0.873,12.5,0.982,0,1.0,0,0,0.781,8694728.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,88.1,0.0,95.2,80.0,False,1
True,4,True,0.866,False,True,0.78,False,True,True,0.961,8.9,0.816,2,0.765,1,31,0.827,37226439.0,True,False,False,0,0.0,False,False,2,True,False,0,0,2,0.207,75.3,36.0,88.2,57.3,False,1
True,19,True,0.718,False,False,0.0,False,False,False,0.706,6.8,0.784,1,0.846,1,40,0.982,336266269.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.578,87.1,0.0,75.0,75.7,False,1
True,10,True,0.82,False,True,0.886,False,True,False,0.72,17.0,0.846,4,0.94,0,0,0.875,155101813.0,False,True,False,0,0.0,False,False,1,False,False,0,0,0,0.0,88.2,28.0,86.8,96.9,False,0
True,7,True,0.646,False,True,0.889,False,True,False,0.849,16.5,0.834,1,0.929,0,0,0.88,323605890.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.237,88.0,0.0,83.9,72.2,False,1
True,8,True,0.87,False,False,0.0,False,True,True,0.817,10.7,0.787,4,0.92,0,0,0.756,12395684.0,True,False,False,0,0.0,False,False,1,False,False,0,0,3,0.266,82.9,28.0,71.3,65.9,False,1
True,12,True,0.841,True,False,0.0,False,False,False,0.469,16.7,0.734,4,0.803,0,0,0.978,22557511.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.139,85.4,0.0,75.9,82.1,False,1
True,15,True,0.886,False,True,0.907,False,True,False,0.678,27.3,0.816,6,0.84,0,0,0.7,58383627.0,True,True,False,0,0.0,False,False,2,True,False,0,0,3,0.242,73.2,36.0,78.3,77.2,False,1
True,16,True,0.873,False,False,0.0,False,False,False,0.714,16.6,0.972,1,0.973,0,0,1.0,25364953.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.247,95.8,0.0,88.1,79.6,False,1
True,6,True,0.773,False,False,0.076,False,True,False,0.96,4.6,0.823,4,0.8,1,35,0.75,70781430.0,False,True,False,0,0.0,False,False,1,False,False,0,0,0,0.0,74.5,28.0,81.0,79.5,False,0
True,13,True,0.828,True,True,0.794,False,True,False,0.721,17.9,0.877,1,0.95,0,0,0.838,12812141.0,True,False,False,0,0.0,True,True,0,False,False,0,0,2,0.28,87.0,15.0,88.3,77.6,False,1
True,14,True,0.858,False,True,0.891,False,True,False,0.572,21.7,0.869,5,0.8,1,26,0.762,91533825.0,False,True,False,0,0.0,False,False,0,False,False,0,0,0,0.0,72.1,0.0,75.0,96.0,False,0
True,15,False,0.629,True,True,0.762,False,False,False,0.684,21.7,0.731,6,0.766,1,4,0.651,10810471.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.12,65.3,0.0,48.4,77.4,True,0
True,6,True,0.976,True,False,0.05,False,True,True,0.949,3.1,0.873,4,0.953,2,28,0.882,70438667.0,False,True,False,0,0.0,True,False,0,False,False,0,0,1,0.212,86.6,25.0,76.4,70.2,False,1
True,6,False,0.817,False,True,0.768,False,True,True,1.0,4.9,0.753,4,0.822,2,32,0.594,14063516.0,True,False,False,0,0.0,False,False,1,True,False,0,0,0,0.0,66.2,28.0,57.3,76.8,True,0
True,17,True,0.843,True,False,0.16,False,True,False,0.654,13.1,0.878,3,0.776,1,6,0.752,74636483.0,False,True,False,0,0.0,False,False,1,True,False,0,0,3,0.341,71.8,28.0,77.3,75.1,False,0
True,12,True,0.874,False,True,1.0,True,True,True,0.718,10.6,0.705,3,0.768,0,0,0.911,228591913.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.209,81.5,0.0,76.8,88.3,False,0
True,0,True,0.797,False,True,0.741,False,True,False,0.74,11.4,0.905,2,0.784,1,27,0.736,57111915.0,False,True,False,0,0.0,False,False,0,False,False,0,0,1,0.158,71.9,0.0,82.4,47.2,False,0
True,12,True,0.961,False,False,0.0,False,True,False,0.902,4.7,0.736,6,0.922,0,0,0.877,16794620.0,True,False,False,0,0.0,False,False,0,False,False,0,0,1,0.062,89.4,0.0,79.9,87.5,False,1
True,16,True,0.9,False,False,0.0,False,True,False,0.777,15.6,0.879,2,0.946,0,0,0.936,98419447.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.02,91.6,0.0,85.8,87.6,False,1
True,12,True,0.935,False,True,0.955,True,False,False,0.73,10.8,0.877,1,1.0,0,0,0.5,23261110.0,True,False,False,0,0.0,False,False,1,False,False,0,0,2,0.177,75.7,28.0,88.6,81.2,False,0
True,9,True,0.843,False,True,0.874,False,True,True,0.867,13.7,0.868,1,1.0,0,0,0.663,28450806.0,True,False,False,0,0.0,True,False,0,False,False,0,0,3,0.369,82.6,25.0,88.7,68.8,False,1
True,7,True,0.94,False,True,0.657,False,True,True,0.79,19.2,0.83,2,0.842,2,43,0.831,9879108.0,True,False,False,0,0.0,False,False,0,False,False,0,0,2,0.193,75.5,0.0,86.3,67.4,False,1
True,13,False,0.785,False,False,0.0,False,True,False,0.919,13.5,0.905,1,0.977,0,0,0.893,144188837.0,False,True,False,0,0.0,False,False,0,False,False,0,0,2,0.418,91.6,0.0,59.2,78.3,True,0
True,13,True,0.986,False,False,0.0,False,True,False,0.812,7.3,0.559,12,0.831,1,23,0.879,4682451.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,81.6,0.0,67.1,90.9,False,1
True,4,True,0.983,True,False,0.0,False,True,False,0.904,11.3,0.676,4,0.697,1,30,0.76,25117630.0,True,False,False,0,0.0,False,False,1,False,False,0,0,0,0.0,68.1,28.0,79.2,69.8,False,0
True,7,True,0.567,False,True,1.0,True,True,False,0.62,18.2,0.784,4,0.944,0,0,0.832,97562240.0,False,True,False,0,0.0,False,False,1,True,False,0,0,1,0.261,86.4,28.0,76.6,73.5,False,0
True,14,True,0.934,False,True,0.954,True,True,False,0.715,17.2,0.786,4,0.81,1,19,0.973,15436198.0,True,False,False,0,0.0,False,False,0,False,False,0,0,0,0.0,83.0,0.0,85.7,93.0,False,1
True,7,True,0.755,False,False,0.0,False,True,True,0.992,9.7,0.79,3,0.756,3,42,0.787,102365992.0,False,True,False,0,0.0,False,False,1,False,False,0,0,3,0.14,67.8,28.0,75.0,68.6,False,0
True,3,True,0.851,False,True,0.888,False,True,True,0.933,14.9,0.845,4,0.978,1,8,0.705,4947731.0,True,False,False,0,0.0,False,False,1,True,False,0,0,3,0.174,80.5,28.0,78.9,46.7,False,0
True,14,True,0.942,False,True,0.882,False,True,False,0.95,2.0,0.847,1,0.813,2,40,0.812,21785534.0,True,False,False,0,0.0,False,False,0,False,False,0,0,3,0.133,75.9,0.0,85.5,78.2,False,1
